group,setting,PDR
1,22.30.9,46
2,22.30.9,43
3,22.30.9,44
4,22.30.9,45
5,22.30.9,44
6,22.30.9,55
7,22.30.9,37
8,22.30.9,54
9,22.30.9,44
10,22.30.9,46
11,22.30.9,46
12,22.30.9,41
13,22.30.9,40
14,22.30.9,49
15,22.30.9,49
16,22.30.9,50
17,22.30.9,49
18,22.30.9,44
19,22.30.9,50
20,22.30.9,44
21,22.30.9,52
22,22.30.9,54
23,22.30.9,43
24,22.30.9,40
25,22.30.9,47
26,22.30.9,48
27,22.30.9,47
28,22.30.9,46
29,22.30.9,48
30,22.30.9,57
31,22.30.9,45
32,22.30.9,46
33,22.30.9,49
34,22.30.9,49
35,22.30.9,40
36,22.30.9,44
37,22.30.9,44
38,22.30.9,50
39,22.30.9,39
40,22.30.9,43
41,22.30.9,50
42,22.30.9,44
43,22.30.9,51
44,22.30.9,41
45,22.30.9,46
46,22.30.9,50
47,22.30.9,43
48,22.30.9,40
49,22.30.9,52
50,22.30.9,46
51,22.30.9,53
52,22.30.9,43
53,22.30.9,40
54,22.30.9,40
55,22.30.9,42
56,22.30.9,52
57,22.30.9,48
58,22.30.9,47
59,22.30.9,56
60,22.30.9,47
61,22.30.9,53
62,22.30.9,50
63,22.30.9,44
64,22.30.9,55
65,22.30.9,46
66,22.30.9,45
67,22.30.9,48
68,22.30.9,39
69,22.30.9,53
70,22.30.9,45
71,22.30.9,43
72,22.30.9,38
73,22.30.9,39
74,22.30.9,37
75,22.30.9,54
76,22.30.9,49
77,22.30.9,52
78,22.30.9,64
79,22.30.9,46
80,22.30.9,57
81,22.30.9,44
82,22.30.9,43
83,22.30.9,44
84,22.30.9,48
85,22.30.9,49
86,22.30.9,49
87,22.30.9,40
88,22.30.9,45
89,22.30.9,52
90,22.30.9,43
91,22.30.9,47
92,22.30.9,53
93,22.30.9,45
94,22.30.9,50
95,22.30.9,45
96,22.30.9,48
97,22.30.9,58
98,22.30.9,53
99,22.30.9,53
100,22.30.9,49
101,22.30.9,44
102,22.30.9,49
103,22.30.9,50
104,22.30.9,50
105,22.30.9,36
106,22.30.9,50
107,22.30.9,44
108,22.30.9,45
109,22.30.9,48
110,22.30.9,55
111,22.30.9,50
112,22.30.9,56
113,22.30.9,37
114,22.30.9,54
115,22.30.9,52
116,22.30.9,38
117,22.30.9,53
118,22.30.9,55
119,22.30.9,45
120,22.30.9,49
121,22.30.9,40
122,22.30.9,56
123,22.30.9,46
124,22.30.9,45
125,22.30.9,42
126,22.30.9,40
127,22.30.9,42
128,22.30.9,50
129,22.30.9,42
130,22.30.9,38
131,22.30.9,43
132,22.30.9,48
133,22.30.9,51
134,22.30.9,44
135,22.30.9,49
136,22.30.9,47
137,22.30.9,43
138,22.30.9,50
139,22.30.9,46
140,22.30.9,49
141,22.30.9,47
142,22.30.9,42
143,22.30.9,43
144,22.30.9,44
145,22.30.9,50
146,22.30.9,42
147,22.30.9,41
148,22.30.9,49
149,22.30.9,48
150,22.30.9,50
151,22.30.9,37
152,22.30.9,38
153,22.30.9,44
154,22.30.9,58
155,22.30.9,47
156,22.30.9,43
157,22.30.9,32
158,22.30.9,43
159,22.30.9,51
160,22.30.9,55
161,22.30.9,43
162,22.30.9,44
163,22.30.9,50
164,22.30.9,47
165,22.30.9,41
166,22.30.9,44
167,22.30.9,45
168,22.30.9,41
169,22.30.9,46
170,22.30.9,47
171,22.30.9,40
172,22.30.9,46
173,22.30.9,52
174,22.30.9,50
175,22.30.9,48
176,22.30.9,44
177,22.30.9,47
178,22.30.9,45
179,22.30.9,44
180,22.30.9,50
181,22.30.9,38
182,22.30.9,53
183,22.30.9,34
184,22.30.9,52
185,22.30.9,54
186,22.30.9,49
187,22.30.9,41
188,22.30.9,46
189,22.30.9,37
190,22.30.9,51
191,22.30.9,47
192,22.30.9,50
193,22.30.9,35
194,22.30.9,50
195,22.30.9,40
196,22.30.9,43
197,22.30.9,44
198,22.30.9,44
199,22.30.9,46
200,22.30.9,48
201,22.30.9,44
202,22.30.9,53
203,22.30.9,36
204,22.30.9,58
205,22.30.9,49
206,22.30.9,40
207,22.30.9,42
208,22.30.9,35
209,22.30.9,48
210,22.30.9,34
211,22.30.9,50
212,22.30.9,44
213,22.30.9,51
214,22.30.9,42
215,22.30.9,45
,average,46.97
,std,5.129544056
